from,to,symbol,date,quantity
utopis,simplifylife,HIVE,2021-03-08,7.588
utopis,bitandi,HIVE,2021-03-08,0.364
utopis,bozz,HIVE,2021-03-08,3.181
utopis,moonthumb,HIVE,2021-03-08,0.136
utopis,okean123,HIVE,2021-03-08,0.909
utopis,oivas,HIVE,2021-03-08,0.317
utopis,offgridlife,HIVE,2021-03-08,0.045
utopis,yorra,HIVE,2021-03-08,0.045
utopis,tandara,HIVE,2021-03-08,5.18
utopis,numanbutt,HIVE,2021-03-08,0.227
utopis,victor-alexander,HIVE,2021-03-08,0.08
utopis,teenagecrypto,HIVE,2021-03-15,1.617
utopis,starstrings01,HIVE,2021-03-15,0.91
utopis,flauwy,HIVE,2021-03-15,18.432
utopis,taskmanager,HIVE,2021-03-15,20.48
utopis,glastar,HIVE,2021-03-15,5.535
utopis,taskmaster4450,HIVE,2021-03-15,22.195
utopis,funnel,HIVE,2021-03-15,1.107
utopis,stickupboys,HIVE,2021-03-15,0.554
utopis,summertooth,HIVE,2021-03-15,2.435
utopis,gillianpearce,HIVE,2021-03-15,1.494
utopis,tandara,HIVE,2021-03-15,16.605
utopis,gadrian,HIVE,2021-03-15,0.83
utopis,abrockman,HIVE,2021-03-15,19.373
utopis,stayoutoftherz,HIVE,2021-03-15,2.491
utopis,anderssinho,HIVE,2021-03-15,0.055
utopis,monsterbuster,HIVE,2021-03-15,0.277
utopis,evernoticethat,HIVE,2021-03-15,2.907
utopis,velourex,HIVE,2021-03-15,0.554
utopis,drax.leo,HIVE,2021-03-15,0.016
utopis,victor-alexander,HIVE,2021-03-15,0.097
utopis,a1-shroom-spores,HIVE,2021-03-15,0.111
utopis,drax,HIVE,2021-03-15,0.076
utopis,vipservice,HIVE,2021-03-15,56.948
utopis,dkid14,HIVE,2021-03-15,2.768
utopis,voinvote.token,HIVE,2021-03-15,0.166
utopis,discohedge,HIVE,2021-03-15,75.276
utopis,votebetting,HIVE,2021-03-15,39.409
utopis,dera123,HIVE,2021-03-15,23.336
utopis,writeandearn,HIVE,2021-03-15,0.304
utopis,xabi,HIVE,2021-03-15,12.123
utopis,denver-bob,HIVE,2021-03-15,27.675
utopis,yorra,HIVE,2021-03-15,0.055
utopis,dudeontheweb,HIVE,2021-03-15,0.372
utopis,failingforwards,HIVE,2021-03-15,0.599
utopis,uyobong,HIVE,2021-03-15,11.07
utopis,trumpman,HIVE,2021-03-15,15.969
utopis,thelogicaldude,HIVE,2021-03-15,0.554
utopis,themarkymark,HIVE,2021-03-15,59.75
utopis,erikah,HIVE,2021-03-15,1.493
utopis,ericburgoyne,HIVE,2021-03-15,0.83
utopis,theroad2freedom,HIVE,2021-03-15,0.554
utopis,enginewitty,HIVE,2021-03-15,13.838
utopis,thisismylife,HIVE,2021-03-15,0.554
utopis,enforcer48,HIVE,2021-03-15,1.827
utopis,hatoto,HIVE,2021-03-15,0.055
utopis,elianaicgomes,HIVE,2021-03-15,0.554
utopis,tomhall,HIVE,2021-03-15,2.302
utopis,elbrava,HIVE,2021-03-15,0.321
utopis,eirik,HIVE,2021-03-15,6.051
utopis,trumpikas,HIVE,2021-03-15,2.768
utopis,ecoinstant,HIVE,2021-03-15,9.797
utopis,dylanhobalart,HIVE,2021-03-15,1.605
utopis,tobetada,HIVE,2021-03-15,0.221
utopis,silverstackeruk,HIVE,2021-03-15,24.908
utopis,st8z,HIVE,2021-03-15,0.498
utopis,liotes.burn,HIVE,2021-03-15,1.661
utopis,libertycrypto27,HIVE,2021-03-15,0.42
utopis,okean123,HIVE,2021-03-15,1.107
utopis,leontr,HIVE,2021-03-15,0.554
utopis,oldmans,HIVE,2021-03-15,1.384
utopis,partitura,HIVE,2021-03-15,35.424
utopis,largeadultson,HIVE,2021-03-15,0.277
utopis,ph1102,HIVE,2021-03-15,1.801
utopis,pieternijmeijer,HIVE,2021-03-15,2.784
utopis,knowhow92,HIVE,2021-03-15,13.123
utopis,pixiepost,HIVE,2021-03-15,0.111
utopis,kiokizz,HIVE,2021-03-15,0.554
